# GENERATED by comparison.py. DO NOT EDIT BY HAND.
# generated = 2026-09-17T15:55:57Z
# input.comparison = config/gorissen_2018_comparison.ini sha256 cd7643ca03c277c5645d06975a163a027274a75154fe7147c37f87eed7f365a2
# input.decisions = config/mass_fraction_decisions.ini sha256 bd09b2a54f3fc750af02d33bd553d5b79f25af10e4b022b34692a65f01213c04
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.standard = outputs/standard/_calculated_amino_acid_standard.tsv sha256 2b73a1312a8b3619f9fa87b81f2d3c7b53673c3316cdeb8f29a2a146a5c9fb8a
# input.standard_npmp = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 e40ff18efd4a2b401b8c1ff21dc949c459a113d84c525c5c30f812058f5f86e5
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.pools = config/non_protein_metabolite_pools.ini sha256 834e0a4227e06cfc557dc8a8637ae1c28b081d6d8728fedee0baf098a19a3e86
# source = P10 Gorissen SHM, Crombag JJR, Senden JMG, Waterval WAH, Bierau J, Verdijk LB, van Loon LJC. Protein content and amino acid composition of commercially available plant-based protein isolates. Amino Acids 2018;50(12):1685-1695. DOI 10.1007/s00726-018-2640-5
# source file = data/literature/gorissen_2018/726_2018_Article_2640.pdf sha256 6f75965fc27f705fbd80a68ad529ea2c28c919fca412810393c9fd7415a7215f
# THE CALCULATED STANDARD BESIDE AN INDEPENDENT MEASUREMENT. Both sides are percentages of the SAME set: the amino acids Gorissen et al. 2018 report (X1). Neither side is treated as the truth, neither is fitted or scaled toward the other, and no error term is computed (X3).
# The set is decided by the paper's method, not by agreement (X2). Excluded from BOTH sides: tryptophan (decomposed by acid hydrolysis), aspartic acid (not measured), asparagine (converts to aspartic acid). Glutamine converts to glutamic acid during hydrolysis, so E and Q are summed into one row on both sides.
# the comparison set is 83.69 % of the calculated standard's twenty amino acids; the three excluded carry the rest.
# difference_pp is calculated minus Gorissen in percentage points of the comparison set; ratio is calculated / Gorissen. A row whose Gorissen value is 0.0 has no ratio — see its caveat.
row	paper_row_label	status	gorissen_percent_of_measured	calculated_protein_only_percent	difference_pp_protein_only	ratio_calculated_over_gorissen_protein_only	calculated_with_non_protein_metabolite_pools_percent	difference_pp_with_non_protein_metabolite_pools	ratio_calculated_over_gorissen_with_non_protein_metabolite_pools	caveat
E+Q	Glutamic acid	compared	21.5461	19.0847	-2.4613	0.8858	19.0051	-2.5410	0.8821	
K	Lysine	compared	10.8553	11.3295	+0.4742	1.0437	11.2822	+0.4269	1.0393	
L	Leucine	compared	10.3618	10.0793	-0.2825	0.9727	10.0374	-0.3244	0.9687	
R	Arginine	compared	7.2368	8.2679	+1.0310	1.1425	8.2336	+0.9967	1.1377	
V	Valine	compared	7.0724	7.1115	+0.0391	1.0055	7.0818	+0.0094	1.0013	
A	Alanine	compared	6.7434	6.4912	-0.2522	0.9626	6.4642	-0.2792	0.9586	
F	Phenylalanine	compared	6.2500	4.8331	-1.4169	0.7733	4.8130	-1.4370	0.7701	
I	Isoleucine	compared	5.5921	6.5175	+0.9254	1.1655	6.4904	+0.8983	1.1606	
G	Glycine	compared	5.0987	4.0903	-1.0084	0.8022	4.0733	-1.0254	0.7989	
T	Threonine	compared	4.7697	6.0781	+1.3084	1.2743	6.0527	+1.2830	1.2690	
H	Histidine	compared	4.6053	2.6626	-1.9427	0.5782	3.0681	-1.5372	0.6662	
S	Serine	compared	3.7829	5.6907	+1.9078	1.5043	5.6670	+1.8841	1.4981	
Y	Tyrosine	compared	3.2895	4.5770	+1.2875	1.3914	4.5580	+1.2685	1.3856	
M	Methionine	compared	2.7961	3.1866	+0.3905	1.1397	3.1734	+0.3773	1.1350	
C		not measured								printed as 0.0 in the human muscle column (p. 1690). Not a measurement: the paper names cysteine as at risk under its method and says hydrolysis was terminated at 12 h to minimize its reduction (p. 1687). The mass balance in [mass_balance] does not permit a true zero either (D85).
D		not measured								listed as not measured in the Table 1 footnote (p. 1690), although hydrolysis converts asparagine into it
N		not measured								converted into aspartic acid during hydrolysis (p. 1687), and aspartic acid was not measured
P		not measured								printed as 0.0 in the human muscle column (p. 1690). Not a measurement: proline is not destroyed by acid hydrolysis, is not named anywhere in the paper among the amino acids its method struggles with, and the fifteen other protein sources in the same table - same instrument, same procedure - carry 1.8 to 8.8 g/100 g. A protein containing no proline does not exist. Read as a failure in that one cell (D85).
W		not measured								decomposed during acid hydrolysis, which precludes detection (p. 1687, right column, last paragraph); the paper states the essential amino acid sum therefore excludes it
