# GENERATED by aggregate.py. DO NOT EDIT BY HAND.
# generated = 2026-09-13T07:33:08Z
# input.weights = config/mass_fractions_per_entry.tsv sha256 3274a7a94a20bf9607082bce02e0585df99ba749fc0325e4580fa104a9aa9e31
# input.composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.eaa = config/aggregation_decisions.ini sha256 a06f3d9a1bc61a2d419b776a2cca92a135033ccc161c4511e34e5566fa9cc57f
# input.mhc_actin = outputs/mass_fractions/classical_check_carroll_2004.tsv sha256 8a71ea4931439e75cc4c29aa441aaa07b4cfaa19170a01f40b5c9245b8b7236c
# input.band_families = outputs/mass_fractions/band_families.tsv sha256 8e563e7736ce33dc60ab4c87411f51c46b8bd91627c225f3c11eb96dba4c7226
# input.family_bounds = outputs/mass_fractions/family_bounds.tsv sha256 a3fb14b864e67813727f36d8bbc03ebb5d2322bee90c05b268ec1ed1f334bb25
# input.isoform_deltas = outputs/isoform_deltas.tsv sha256 82447372ff27437c32aec6d040b3b49e95b4ff3e7105812ad1bf2eb67e9c918a
# input.processing_deltas = outputs/composition/processing_mass_deltas.tsv sha256 540dc1bda5d339720737aecec76b6037dc24c36675234288d11c1635db395b5f
# input.ptm_deltas = outputs/composition/ptm_mass_deltas.tsv sha256 62864538f5dcc0830b284d312e20e5b864b67d768adf39cb64dcdfac9714a74d
# input.outside_pool = outputs/mass_fractions/dataset_rows_outside_pool.tsv sha256 651ebbaeee358c4390c9e3716a661784aab7c83474efb3fd87e3998c9e7137d9
# A1: profile = molar mixture n_a = sum_i (w_i / MW_i) count_{i,a}; p_a = n_a m_a / sum (m = residue mass or free mass). A1c: fraction mixture sum_i w_i f_{i,a}, renormalised, written as a check.
# A2: combined = every weighted entry (D58); contractile = tier 1 (within-tier weights, D31).
# fractions of total amino acid mass in the named convention, summing to one (A1); a1c_<a> = the fraction-mixture check
profile	fiber_type	convention	entries_with_weight	sum_of_weights	sum_of_fractions	max_abs_a1_minus_a1c	amino_acid_at_max	frac_A	frac_C	frac_D	frac_E	frac_F	frac_G	frac_H	frac_I	frac_K	frac_L	frac_M	frac_N	frac_P	frac_Q	frac_R	frac_S	frac_T	frac_V	frac_W	frac_Y	a1c_A	a1c_C	a1c_D	a1c_E	a1c_F	a1c_G	a1c_H	a1c_I	a1c_K	a1c_L	a1c_M	a1c_N	a1c_P	a1c_Q	a1c_R	a1c_S	a1c_T	a1c_V	a1c_W	a1c_Y
combined	I	free	3575	1	1	9.447535277e-05	E	0.05408757845	0.01180237111	0.05821003646	0.1114196419	0.04061079382	0.03408199451	0.02206207585	0.05413022461	0.09383887786	0.08482530556	0.02729213783	0.03612128689	0.04304309847	0.04661974659	0.06950848777	0.04761500741	0.0508869861	0.05955714406	0.0155067887	0.03878041604	0.05407573387	0.01179180765	0.05822687888	0.1115141173	0.04060107639	0.03404032999	0.02206132498	0.0541145846	0.09388697265	0.08484913037	0.02730590322	0.03612467613	0.04299518597	0.04664451261	0.06953940943	0.04758516095	0.05084864555	0.05950662158	0.01550718393	0.03878074397
combined	I	residue	3575	1	1	2.154093301e-06	F	0.05006794263	0.01165822627	0.05839999853	0.1134518341	0.0419822846	0.0300556825	0.02262649076	0.05418179115	0.09546468945	0.08490611342	0.02784397324	0.03619708713	0.04212846494	0.04742517938	0.07231082387	0.04577730757	0.05011514331	0.05847804973	0.01640549105	0.04052342633	0.05006898032	0.01165809472	0.05840117094	0.1134527216	0.04198443869	0.03005619261	0.02262660886	0.05418086216	0.0954651521	0.08490716638	0.02784586753	0.03619668155	0.04212754407	0.04742457102	0.07231093724	0.04577546708	0.05011343875	0.05847654599	0.01640478439	0.04052277395
combined	IIa	free	3683	1	1	9.595165163e-05	E	0.05459789318	0.01195144033	0.05828513204	0.1137755471	0.0401195954	0.03428518416	0.02250044706	0.05500526134	0.09593062753	0.0838063564	0.02603135087	0.03590725274	0.04073325912	0.04756270578	0.06878896111	0.04748157458	0.05086811335	0.05920935286	0.01532419219	0.03783575285	0.05458851025	0.01194045245	0.05830005157	0.1138714988	0.04011030373	0.03424134576	0.02250155789	0.05499224164	0.09597590108	0.0838308837	0.02604285336	0.03590785285	0.0406807653	0.04759359046	0.06881870168	0.04745406894	0.05083455141	0.05915848004	0.01532235977	0.03783402936
combined	IIa	residue	3683	1	1	1.824389454e-06	T	0.05054137768	0.01180571908	0.0584765488	0.1158531053	0.04147535557	0.03023549357	0.0230765542	0.05505880039	0.09759469867	0.08388792884	0.02655824307	0.03598334817	0.03986853265	0.04838543062	0.07156376878	0.04564996887	0.05009759312	0.05813776264	0.01621264745	0.0395371225	0.05054264063	0.01180560942	0.05847814226	0.1158539449	0.04147717383	0.03023632361	0.02307682579	0.0550582094	0.09759468433	0.08388850863	0.02655987123	0.03598278377	0.03986736685	0.04838495278	0.07156377188	0.0456488302	0.05009576873	0.05813621084	0.01621206637	0.03953631455
combined	IIx	free	3460	1	1	9.1612079e-05	E	0.05400794792	0.0122333733	0.0592070667	0.1133752769	0.04068241051	0.03445297258	0.02229298355	0.05430526938	0.09434982258	0.08379165614	0.02615243754	0.0361535152	0.0415679726	0.04662574798	0.06888422387	0.04788252277	0.05046033087	0.06005779729	0.01578064484	0.0377360275	0.05399871812	0.01222283781	0.05922283678	0.113466889	0.04067397696	0.03441385075	0.02229377973	0.05429417535	0.09439206237	0.08381331839	0.02616377139	0.03615324426	0.04151650364	0.04665290297	0.06891087463	0.04785553084	0.05043012141	0.06001091826	0.01577795422	0.03773573314
combined	IIx	residue	3460	1	1	1.971678401e-06	T	0.04999665877	0.01208455159	0.05940316818	0.1154487464	0.04205836302	0.03038431071	0.0228644165	0.05435964338	0.09598914956	0.08387555384	0.02668252489	0.03623114311	0.04068666088	0.04743358869	0.07166487322	0.04603673457	0.04969737372	0.05897249658	0.01669602969	0.03943401272	0.04999802371	0.01208448402	0.05940494055	0.1154500498	0.04206013395	0.03038519895	0.02286453422	0.05435889672	0.09598912286	0.08387633419	0.0266841102	0.03623058225	0.04068530171	0.04743334332	0.07166473748	0.04603570587	0.04969540204	0.05897096693	0.016695185	0.03943294624
contractile	I	free	185	1	1	8.446882858e-05	E	0.05251659874	0.01089317233	0.05978332101	0.1239474255	0.03719075815	0.03016703925	0.02029782099	0.0534457187	0.09939225688	0.08123911525	0.02718351816	0.03588178936	0.04229491749	0.04701885525	0.0703175188	0.04685256991	0.05096461457	0.05737649131	0.01487563916	0.03836085923	0.05252704566	0.01088057895	0.05979857526	0.1240318943	0.03718083971	0.03013639285	0.0202959951	0.05343034201	0.09943805671	0.08128103752	0.02720124212	0.03588502394	0.0422354782	0.04705085121	0.07034119049	0.04682071546	0.05092089787	0.05732663259	0.01486695387	0.03835025621
contractile	I	residue	185	1	1	4.767734017e-06	E	0.04857385741	0.01075130996	0.05992924362	0.1261046404	0.03841522809	0.02658141374	0.02080003387	0.05345277359	0.1010313847	0.0812498389	0.02771042012	0.03592760735	0.04136224331	0.04779196859	0.07309249763	0.04500736645	0.05015044443	0.05629071925	0.01572486026	0.04005214831	0.04857472548	0.0107509983	0.05993162607	0.1261094082	0.03841712359	0.02658138848	0.02079947951	0.05345186691	0.1010320111	0.08125050453	0.02771322246	0.03592701517	0.04136076988	0.04779150741	0.07309253182	0.04500507806	0.05014857479	0.05628821512	0.01572341939	0.04005053379
contractile	IIa	free	187	1	1	9.035947307e-05	E	0.05403616735	0.01110706342	0.05850096869	0.1257096963	0.03599622618	0.03038146033	0.02069320229	0.05489484222	0.09969846586	0.08159573244	0.02553211436	0.03500037862	0.03978727343	0.04881405085	0.06968954019	0.04736511314	0.0512001431	0.05731782484	0.01477171672	0.03790801968	0.05404520325	0.01109420879	0.0585156069	0.1258000558	0.0359845787	0.03034908036	0.02069411578	0.05488087228	0.09974896737	0.08163218043	0.02554594183	0.03500093417	0.03972375382	0.04885148446	0.06971259536	0.04733627366	0.05116034947	0.05726536808	0.01476211059	0.03789631892
contractile	IIa	residue	187	1	1	4.953666997e-06	E	0.04998738617	0.01096417978	0.05865319911	0.1279181655	0.0371873511	0.02677465723	0.02120861044	0.05491092408	0.1013589531	0.08161963652	0.02603119558	0.03505071112	0.038916159	0.04962466698	0.07245139485	0.04550704661	0.0503903186	0.05624221285	0.01561751809	0.03958571326	0.04998872065	0.01096383765	0.05865539284	0.1279231192	0.03718802562	0.02677469159	0.02120836396	0.05491044636	0.1013585611	0.08162009551	0.02603328106	0.03504982686	0.03891437147	0.04962454574	0.07245194012	0.04550583312	0.05038819577	0.05623971127	0.0156164391	0.03958460101
